"tcgaGD_data_protein","frame_tcgaGDC_data_GE_counts","frame_tcgaGD_data_Meth","frame_tcgaGDC_data_CNV_genelevel","frame_tcgaLGG_data_RNA_normalized"
"TCGA-06-0189","TCGA-06-1804","TCGA-06-1804","TCGA-02-0037","TCGA-HT-7476"
"TCGA-06-1800","TCGA-06-0125","TCGA-06-0125","TCGA-02-0037","TCGA-FG-7636"
"TCGA-27-1836","TCGA-06-A7TL","TCGA-06-A7TL","TCGA-12-1599","TCGA-DU-A7TI"
"TCGA-06-0129","TCGA-19-5950","TCGA-19-5950","TCGA-12-1599","TCGA-QH-A6X5"
"TCGA-15-1449","TCGA-76-6193","TCGA-76-6193","TCGA-12-0618","TCGA-DB-A64L"
"TCGA-06-2565","TCGA-06-A6S0","TCGA-06-A6S0","TCGA-12-0618","TCGA-DB-5274"
"TCGA-76-4928","TCGA-06-5858","TCGA-06-5858","TCGA-06-0139","TCGA-TQ-A7RH"
"TCGA-19-1786","TCGA-06-0125","TCGA-06-0125","TCGA-06-0139","TCGA-HT-7475"
"TCGA-06-0190","TCGA-19-5953","TCGA-19-5953","TCGA-19-2620","TCGA-HT-A618"
"TCGA-08-0245","TCGA-76-6283","TCGA-76-6283","TCGA-19-2620","TCGA-FG-A4MU"
"TCGA-41-4097","TCGA-74-6584","TCGA-74-6584","TCGA-02-0014","TCGA-S9-A6UB"
"TCGA-02-0068","TCGA-76-6661","TCGA-76-6661","TCGA-02-0014","TCGA-HW-8322"
"TCGA-27-1833","TCGA-41-5651","TCGA-41-5651","TCGA-02-0089","TCGA-S9-A7J3"
"TCGA-08-0392","TCGA-19-A6J4","TCGA-19-A6J4","TCGA-02-0089","TCGA-DU-6407"
"TCGA-08-0357","TCGA-28-5213","TCGA-28-5213","TCGA-08-0386","TCGA-W9-A837"
"TCGA-28-5214","TCGA-76-4931","TCGA-76-4931","TCGA-08-0386","TCGA-QH-A65Z"
"TCGA-19-A6J4","TCGA-19-5959","TCGA-19-5959","TCGA-02-0113","TCGA-DU-6542"
"TCGA-41-3392","TCGA-26-6173","TCGA-26-6173","TCGA-02-0113","TCGA-TQ-A7RN"
"TCGA-12-0691","TCGA-15-1444","TCGA-15-1444","TCGA-28-5216","TCGA-HW-7493"
"TCGA-32-1982","TCGA-76-6191","TCGA-76-6191","TCGA-28-5216","TCGA-HT-8018"
"TCGA-19-A6J5","TCGA-06-0171","TCGA-06-0171","TCGA-74-6581","TCGA-HT-A74L"
"TCGA-19-5959","TCGA-06-6391","TCGA-06-6391","TCGA-74-6581","TCGA-HT-A5RB"
"TCGA-76-4931","TCGA-76-4932","TCGA-76-4932","TCGA-28-1747","TCGA-RY-A83Y"
"TCGA-06-5859","TCGA-06-A5U1","TCGA-06-A5U1","TCGA-28-1747","TCGA-S9-A7IX"
"TCGA-74-6573","TCGA-06-0221","TCGA-06-0221","TCGA-08-0389","TCGA-QH-A6CX"
"TCGA-06-1806","TCGA-32-1979","TCGA-32-1979","TCGA-08-0389","TCGA-WY-A85C"
"TCGA-14-0736","TCGA-12-5301","TCGA-12-5301","TCGA-28-5219","TCGA-CS-6666"
"TCGA-76-6664","TCGA-RR-A6KC","TCGA-RR-A6KC","TCGA-28-5219","TCGA-DU-6404"
"TCGA-06-0130","TCGA-06-0171","TCGA-06-0171","TCGA-19-A60I","TCGA-F6-A8O3"
"TCGA-02-0116","TCGA-06-1806","TCGA-06-1806","TCGA-19-A60I","TCGA-DU-A7TB"
"TCGA-06-0171","TCGA-06-0221","TCGA-06-0221","TCGA-32-1980","TCGA-S9-A7J1"
"TCGA-06-0156","TCGA-26-5134","TCGA-26-5134","TCGA-32-1980","TCGA-HT-7609"
"TCGA-32-5222","TCGA-4W-AA9R","TCGA-4W-AA9R","TCGA-19-1385","TCGA-P5-A733"
"TCGA-19-4065","TCGA-06-A7TK","TCGA-06-A7TK","TCGA-19-1385","TCGA-S9-A6WD"
"TCGA-19-5955","TCGA-06-5408","TCGA-06-5408","TCGA-06-1804","TCGA-WY-A858"
"TCGA-76-4927","TCGA-76-6663","TCGA-76-6663","TCGA-06-1804","TCGA-DH-A66B"
"TCGA-19-1790","TCGA-06-5410","TCGA-06-5410","TCGA-06-2570","TCGA-P5-A5F4"
"TCGA-19-5954","TCGA-14-0781","TCGA-14-0781","TCGA-06-2570","TCGA-HT-7879"
"TCGA-4W-AA9T","TCGA-06-6389","TCGA-06-6389","TCGA-06-0208","TCGA-VM-A8CA"
"TCGA-06-6694","TCGA-32-5222","TCGA-32-5222","TCGA-06-0208","TCGA-S9-A6WN"
"TCGA-12-3652","TCGA-14-1450","TCGA-14-1450","TCGA-02-0023","TCGA-DU-A6S7"
"TCGA-19-2625","TCGA-06-0211","TCGA-06-0211","TCGA-02-0023","TCGA-HT-7485"
"TCGA-08-0373","TCGA-12-5299","TCGA-12-5299","TCGA-06-1802","TCGA-HT-8015"
"TCGA-26-1440","TCGA-06-6700","TCGA-06-6700","TCGA-06-1802","TCGA-DU-A5TP"
"TCGA-08-0353","TCGA-41-6646","TCGA-41-6646","TCGA-06-0875","TCGA-TQ-A7RM"
"TCGA-76-6282","TCGA-26-A7UX","TCGA-26-A7UX","TCGA-06-0875","TCGA-CS-4943"
"TCGA-06-2566","TCGA-RR-A6KA","TCGA-RR-A6KA","TCGA-19-2625","TCGA-S9-A6TW"
"TCGA-32-4210","TCGA-74-6575","TCGA-74-6575","TCGA-19-2625","TCGA-DU-7014"
"TCGA-06-0126","TCGA-74-6573","TCGA-74-6573","TCGA-06-2563","TCGA-S9-A6WP"
"TCGA-19-2619","TCGA-19-1389","TCGA-19-1389","TCGA-06-2563","TCGA-RY-A83X"
"TCGA-08-0352","TCGA-26-5133","TCGA-26-5133","TCGA-02-0028","TCGA-DH-A66D"
"TCGA-76-6283","TCGA-76-4935","TCGA-76-4935","TCGA-02-0028","TCGA-HT-7611"
"TCGA-06-6698","TCGA-19-5955","TCGA-19-5955","TCGA-06-0168","TCGA-HT-7677"
"TCGA-OX-A56R","TCGA-76-6192","TCGA-76-6192","TCGA-06-0168","TCGA-DB-5275"
"TCGA-06-0171","TCGA-06-6697","TCGA-06-6697","TCGA-06-5414","TCGA-DU-5854"
"TCGA-06-5416","TCGA-76-6664","TCGA-76-6664","TCGA-06-5414","TCGA-DU-8162"
"TCGA-08-0350","TCGA-06-6701","TCGA-06-6701","TCGA-06-0133","TCGA-P5-A72Z"
"TCGA-06-0877","TCGA-19-0957","TCGA-19-0957","TCGA-06-0133","TCGA-DU-A7TC"
"TCGA-06-6701","TCGA-26-5139","TCGA-26-5139","TCGA-12-1602","TCGA-FG-7638"
"TCGA-08-0345","TCGA-06-0152","TCGA-06-0152","TCGA-12-1602","TCGA-FG-6690"
"TCGA-19-2620","TCGA-06-6390","TCGA-06-6390","TCGA-19-1787","TCGA-TM-A7C3"
"TCGA-19-1390","TCGA-06-5859","TCGA-06-5859","TCGA-19-1787","TCGA-CS-5396"
"TCGA-06-0125","TCGA-06-5418","TCGA-06-5418","TCGA-06-A5U1","TCGA-HT-A74K"
"TCGA-06-6390","TCGA-76-4934","TCGA-76-4934","TCGA-06-A5U1","TCGA-DB-5276"
"TCGA-06-0939","TCGA-19-5956","TCGA-19-5956","TCGA-14-1037","TCGA-FG-7641"
"TCGA-06-1084","TCGA-28-2501","TCGA-28-2501","TCGA-14-1037","TCGA-HT-7693"
"TCGA-19-5947","TCGA-28-2510","TCGA-28-2510","TCGA-06-1801","TCGA-DB-A4X9"
"TCGA-32-1970","TCGA-06-5413","TCGA-06-5413","TCGA-06-1801","TCGA-DH-A7UU"
"TCGA-28-1747","TCGA-26-5136","TCGA-26-5136","TCGA-76-6657","TCGA-TM-A84R"
"TCGA-08-0390","TCGA-87-5896","TCGA-87-5896","TCGA-76-6657","TCGA-VM-A8C8"
"TCGA-19-1386","TCGA-81-5911","TCGA-81-5911","TCGA-06-0178","TCGA-TM-A84F"
"TCGA-08-0347","TCGA-26-1442","TCGA-26-1442","TCGA-06-0178","TCGA-CS-5395"
"TCGA-06-2557","TCGA-28-6450","TCGA-28-6450","TCGA-06-0151","TCGA-VV-A86M"
"TCGA-14-0813","TCGA-28-5204","TCGA-28-5204","TCGA-06-0151","TCGA-DU-8163"
"TCGA-08-0344","TCGA-06-A6S1","TCGA-06-A6S1","TCGA-26-1799","TCGA-QH-A6X8"
"TCGA-06-5858","TCGA-06-5412","TCGA-06-5412","TCGA-26-1799","TCGA-HT-7692"
"TCGA-08-0351","TCGA-19-5947","TCGA-19-5947","TCGA-08-0346","TCGA-FG-7634"
"TCGA-27-1830","TCGA-76-4929","TCGA-76-4929","TCGA-08-0346","TCGA-FG-A6J1"
"TCGA-74-6577","TCGA-19-5952","TCGA-19-5952","TCGA-06-0171","TCGA-DB-A4XA"
"TCGA-06-6699","TCGA-28-5215","TCGA-28-5215","TCGA-06-0171","TCGA-HT-7884"
"TCGA-06-2559","TCGA-14-1043","TCGA-14-1043","TCGA-16-1460","TCGA-HT-8011"
"TCGA-76-4929","TCGA-06-A5U0","TCGA-06-A5U0","TCGA-16-1460","TCGA-R8-A6ML"
"TCGA-27-1834","TCGA-06-5415","TCGA-06-5415","TCGA-06-0139","TCGA-HT-7874"
"TCGA-41-3915","TCGA-06-6694","TCGA-06-6694","TCGA-06-0139","TCGA-KT-A74X"
"TCGA-32-1978","TCGA-06-0650","TCGA-06-0650","TCGA-02-2470","TCGA-HT-7467"
"TCGA-08-0346","TCGA-28-5214","TCGA-28-5214","TCGA-02-2470","TCGA-HT-A615"
"TCGA-06-0876","TCGA-06-5417","TCGA-06-5417","TCGA-08-0345","TCGA-S9-A6TY"
"TCGA-12-5295","TCGA-26-5135","TCGA-26-5135","TCGA-08-0345","TCGA-S9-A7IY"
"TCGA-08-0354","TCGA-26-5132","TCGA-26-5132","TCGA-12-1088","TCGA-S9-A89Z"
"TCGA-28-1752","TCGA-OX-A56R","TCGA-OX-A56R","TCGA-12-1088","TCGA-S9-A6U2"
"TCGA-08-0375","TCGA-19-A6J5","TCGA-19-A6J5","TCGA-06-A6S0","TCGA-WH-A86K"
"TCGA-06-0190","TCGA-28-5209","TCGA-28-5209","TCGA-06-A6S0","TCGA-WY-A85B"
"TCGA-19-5956","TCGA-06-0152","TCGA-06-0152","TCGA-19-5958","TCGA-HT-7610"
"TCGA-19-2631","TCGA-06-6693","TCGA-06-6693","TCGA-19-5958","TCGA-FG-7643"
"TCGA-06-A7TL","TCGA-28-5220","TCGA-28-5220","TCGA-28-1757","TCGA-DU-6399"
"TCGA-26-1442","TCGA-74-6578","TCGA-74-6578","TCGA-28-1757","TCGA-E1-5303"
"TCGA-06-6695","TCGA-28-5208","TCGA-28-5208","TCGA-28-5211","TCGA-TM-A7C5"
"TCGA-02-2485","TCGA-19-5954","TCGA-19-5954","TCGA-28-5211","TCGA-DB-A4XG"
"TCGA-02-0014","TCGA-19-5960","TCGA-19-5960","TCGA-06-0190","TCGA-P5-A781"
"TCGA-06-2563","TCGA-06-5416","TCGA-06-5416","TCGA-06-0190","TCGA-DU-7019"
"TCGA-32-1987","TCGA-19-1389","TCGA-19-1389","TCGA-06-0210","TCGA-DH-A66G"
"TCGA-76-6656","TCGA-14-1402","TCGA-14-1402","TCGA-06-0210","TCGA-HT-7471"
"TCGA-28-1760","TCGA-14-1402","TCGA-14-1402","TCGA-06-0686","TCGA-TQ-A7RP"
"TCGA-19-1791","TCGA-19-4065","TCGA-19-4065","TCGA-06-0686","TCGA-HT-8104"
"TCGA-81-5910","TCGA-19-4065","TCGA-19-4065","TCGA-12-0829","TCGA-DU-7300"
"TCGA-06-A5U0","TCGA-06-6695","TCGA-06-6695","TCGA-12-0829","TCGA-DB-A64P"
"TCGA-06-1805","TCGA-06-AABW","TCGA-06-AABW","TCGA-4W-AA9T","TCGA-DU-A5TU"
"TCGA-76-4926","TCGA-76-4928","TCGA-76-4928","TCGA-4W-AA9T","TCGA-DU-7007"
"TCGA-19-5953","TCGA-76-4926","TCGA-76-4926","TCGA-14-0866","TCGA-DU-7010"
"TCGA-12-1598","TCGA-76-6660","TCGA-76-6660","TCGA-14-0866","TCGA-P5-A5EV"
"TCGA-06-2570","TCGA-74-6577","TCGA-74-6577","TCGA-06-0190","TCGA-HW-A5KJ"
"TCGA-06-6391","TCGA-06-0211","TCGA-06-0211","TCGA-06-0190","TCGA-VM-A8CH"
"TCGA-12-3646","TCGA-19-0957","TCGA-19-0957","TCGA-19-1791","TCGA-TQ-A7RV"
"TCGA-RR-A6KB","TCGA-76-6286","TCGA-76-6286","TCGA-19-1791","TCGA-P5-A737"
"TCGA-27-2528","TCGA-14-0740","TCGA-14-0740","TCGA-02-0068","TCGA-E1-A7Z6"
"TCGA-06-0238","TCGA-14-0736","TCGA-14-0736","TCGA-02-0068","TCGA-DU-8166"
"TCGA-06-0878","TCGA-26-6174","TCGA-26-6174","TCGA-14-0783","TCGA-R8-A6MO"
"TCGA-4W-AA9S","TCGA-81-5910","TCGA-81-5910","TCGA-14-0783","TCGA-HT-7483"
"TCGA-26-5134","TCGA-28-5218","TCGA-28-5218","TCGA-RR-A6KB","TCGA-DU-8165"
"TCGA-19-1789","TCGA-76-4927","TCGA-76-4927","TCGA-RR-A6KB","TCGA-DU-A5TY"
"TCGA-06-6700","TCGA-76-6280","TCGA-76-6280","TCGA-19-5951","TCGA-E1-5319"
"TCGA-76-6663","TCGA-06-6388","TCGA-06-6388","TCGA-19-5951","TCGA-TQ-A7RW"
"TCGA-06-0125","TCGA-14-0862","TCGA-14-0862","TCGA-06-0210","TCGA-HT-A4DS"
"TCGA-06-0875","TCGA-76-6285","TCGA-76-6285","TCGA-06-0210","TCGA-DU-7292"
"TCGA-19-1389","TCGA-12-5295","TCGA-12-5295","TCGA-15-1446","TCGA-S9-A6U8"
"TCGA-19-1392","TCGA-06-6699","TCGA-06-6699","TCGA-15-1446","TCGA-DU-7011"
"TCGA-15-1447","TCGA-74-6573","TCGA-74-6573","TCGA-19-A6J4","TCGA-VM-A8CE"
"TCGA-06-5414","TCGA-76-6656","TCGA-76-6656","TCGA-19-A6J4","TCGA-DU-8158"
"TCGA-26-6174","TCGA-28-5207","TCGA-28-5207","TCGA-41-5651","TCGA-CS-5390"
"TCGA-08-0349","TCGA-14-0736","TCGA-14-0736","TCGA-41-5651","TCGA-E1-A7YV"
"TCGA-06-1087","TCGA-76-6282","TCGA-76-6282","TCGA-06-0173","TCGA-DU-6393"
"TCGA-19-5960","TCGA-76-4925","TCGA-76-4925","TCGA-06-0173","TCGA-DH-5142"
"TCGA-02-0011","TCGA-06-6698","TCGA-06-6698","TCGA-15-1447","TCGA-DB-A64Q"
"TCGA-08-0380",NA,NA,"TCGA-15-1447","TCGA-CS-6665"
"TCGA-76-4932",NA,NA,"TCGA-19-5950","TCGA-HT-7681"
"TCGA-28-1746",NA,NA,"TCGA-19-5950","TCGA-DU-7304"
"TCGA-19-1389",NA,NA,"TCGA-76-4931","TCGA-E1-5322"
"TCGA-12-3651",NA,NA,"TCGA-76-4931","TCGA-CS-5394"
"TCGA-26-5133",NA,NA,"TCGA-02-0051","TCGA-HT-8563"
"TCGA-06-0650",NA,NA,"TCGA-02-0051","TCGA-P5-A5EW"
"TCGA-06-5408",NA,NA,"TCGA-02-0015","TCGA-DB-A4XF"
"TCGA-14-1034",NA,NA,"TCGA-02-0015","TCGA-DU-7306"
"TCGA-16-0846",NA,NA,"TCGA-06-0877","TCGA-TM-A84T"
"TCGA-08-0356",NA,NA,"TCGA-06-0877","TCGA-HT-A614"
"TCGA-26-5132",NA,NA,"TCGA-28-1746","TCGA-HT-7860"
"TCGA-28-1757",NA,NA,"TCGA-28-1746","TCGA-S9-A7R7"
"TCGA-06-0644",NA,NA,"TCGA-02-0064","TCGA-VV-A829"
"TCGA-06-6388",NA,NA,"TCGA-02-0064","TCGA-S9-A7IS"
"TCGA-19-A60I",NA,NA,"TCGA-19-0962","TCGA-FG-8186"
"TCGA-76-6657",NA,NA,"TCGA-19-0962","TCGA-DU-7006"
"TCGA-06-5411",NA,NA,"TCGA-06-0210","TCGA-R8-A6YH"
"TCGA-06-2564",NA,NA,"TCGA-06-0210","TCGA-VM-A8CD"
"TCGA-27-2518",NA,NA,"TCGA-14-1395","TCGA-S9-A6WH"
"TCGA-32-1976",NA,NA,"TCGA-14-1395","TCGA-HT-7608"
"TCGA-12-3653",NA,NA,"TCGA-02-2466","TCGA-DU-A76K"
"TCGA-06-A6S1",NA,NA,"TCGA-02-2466","TCGA-DH-5144"
"TCGA-28-2501",NA,NA,"TCGA-16-0848","TCGA-S9-A6TX"
"TCGA-19-5950",NA,NA,"TCGA-16-0848","TCGA-S9-A89V"
"TCGA-06-2558",NA,NA,"TCGA-06-0188","TCGA-TQ-A7RQ"
"TCGA-12-3649",NA,NA,"TCGA-06-0188","TCGA-E1-A7YW"
"TCGA-06-0128",NA,NA,"TCGA-06-0125","TCGA-DU-A5TT"
"TCGA-02-0004",NA,NA,"TCGA-06-0125","TCGA-HT-7882"
"TCGA-19-5952",NA,NA,"TCGA-02-0021","TCGA-FG-A60J"
"TCGA-32-1986",NA,NA,"TCGA-02-0021","TCGA-HT-7686"
"TCGA-06-5856",NA,NA,"TCGA-06-0129","TCGA-TM-A84S"
"TCGA-06-1802",NA,NA,"TCGA-06-0129","TCGA-HT-8113"
"TCGA-06-0882",NA,NA,"TCGA-74-6584","TCGA-E1-A7YJ"
"TCGA-06-5413",NA,NA,"TCGA-74-6584","TCGA-FG-8188"
"TCGA-06-0210",NA,NA,"TCGA-4W-AA9S","TCGA-HT-7875"
"TCGA-19-4065",NA,NA,"TCGA-4W-AA9S","TCGA-DB-A4XE"
"TCGA-06-0152",NA,NA,"TCGA-32-2632","TCGA-FG-A6IZ"
"TCGA-27-1832",NA,NA,"TCGA-32-2632","TCGA-VW-A8FI"
"TCGA-08-0389",NA,NA,"TCGA-06-0165","TCGA-DU-A7TG"
"TCGA-12-1597",NA,NA,"TCGA-06-0165","TCGA-HT-7689"
"TCGA-08-0358",NA,NA,"TCGA-76-6193","TCGA-FG-6689"
"TCGA-06-1804",NA,NA,"TCGA-76-6193","TCGA-P5-A5ET"
"TCGA-08-0360",NA,NA,"TCGA-08-0352","TCGA-E1-5311"
"TCGA-76-6662",NA,NA,"TCGA-08-0352","TCGA-TM-A84C"
"TCGA-12-5301",NA,NA,"TCGA-12-0821","TCGA-HT-7482"
"TCGA-06-5417",NA,NA,"TCGA-12-0821","TCGA-HW-8319"
"TCGA-41-2575",NA,NA,"TCGA-14-1794","TCGA-E1-A7YO"
"TCGA-06-2562",NA,NA,"TCGA-14-1794","TCGA-P5-A72X"
"TCGA-19-0957",NA,NA,"TCGA-76-6661","TCGA-S9-A7IZ"
"TCGA-76-6661",NA,NA,"TCGA-76-6661","TCGA-E1-A7YY"
"TCGA-16-1460",NA,NA,"TCGA-28-1749","TCGA-FG-A70Y"
"TCGA-28-5208",NA,NA,"TCGA-28-1749","TCGA-FG-8189"
"TCGA-12-1599",NA,NA,"TCGA-06-0237","TCGA-FG-A60L"
"TCGA-14-0871",NA,NA,"TCGA-06-0237","TCGA-DU-8164"
"TCGA-06-A6S0",NA,NA,"TCGA-12-1097","TCGA-DU-A6S6"
"TCGA-02-0003",NA,NA,"TCGA-12-1097","TCGA-DB-A64R"
"TCGA-06-0155",NA,NA,"TCGA-06-0125","TCGA-QH-A870"
"TCGA-76-6193",NA,NA,"TCGA-06-0125","TCGA-HT-7881"
"TCGA-19-5958",NA,NA,"TCGA-06-0129","TCGA-FG-A4MW"
"TCGA-08-0355",NA,NA,"TCGA-06-0129","TCGA-TQ-A7RS"
"TCGA-15-1446",NA,NA,"TCGA-06-A7TL","TCGA-QH-A65S"
"TCGA-4W-AA9R",NA,NA,"TCGA-06-A7TL","TCGA-S9-A6U6"
"TCGA-32-1991",NA,NA,"TCGA-06-2564","TCGA-P5-A780"
"TCGA-06-1086",NA,NA,"TCGA-06-2564","TCGA-FG-A4MT"
"TCGA-06-5415",NA,NA,"TCGA-06-0747","TCGA-DU-7013"
"TCGA-19-1788",NA,NA,"TCGA-06-0747","TCGA-DU-7299"
"TCGA-76-6285",NA,NA,"TCGA-14-0790","TCGA-S9-A7J0"
"TCGA-08-0348",NA,NA,"TCGA-14-0790","TCGA-TM-A84B"
"TCGA-06-0154",NA,NA,"TCGA-27-1832","TCGA-TQ-A7RK"
"TCGA-RR-A6KC",NA,NA,"TCGA-27-1832","TCGA-HT-7691"
"TCGA-74-6575",NA,NA,"TCGA-19-2624","TCGA-P5-A736"
"TCGA-06-2567",NA,NA,"TCGA-19-2624","TCGA-QH-A6CY"
"TCGA-06-5412",NA,NA,"TCGA-08-0350","TCGA-TM-A84Q"
"TCGA-41-3393",NA,NA,"TCGA-08-0350","TCGA-QH-A65R"
"TCGA-06-0879",NA,NA,"TCGA-12-0619","TCGA-P5-A5F1"
"TCGA-02-2470",NA,NA,"TCGA-12-0619","TCGA-QH-A6X3"
"TCGA-14-1823",NA,NA,"TCGA-06-5858","TCGA-TM-A7C4"
"TCGA-41-5651",NA,NA,"TCGA-06-5858","TCGA-DU-7012"
"TCGA-41-6646",NA,NA,"TCGA-12-1598","TCGA-DU-5870"
"TCGA-06-6697",NA,NA,"TCGA-12-1598","TCGA-DB-5270"
"TCGA-26-6173",NA,NA,"TCGA-32-2615","TCGA-HT-8114"
"TCGA-19-4068",NA,NA,"TCGA-32-2615","TCGA-DB-A64W"
"TCGA-06-0221",NA,NA,"TCGA-06-0137","TCGA-DH-A7UT"
"TCGA-74-6578",NA,NA,"TCGA-06-0137","TCGA-HT-A5RC"
"TCGA-06-5418",NA,NA,"TCGA-76-6662","TCGA-P5-A730"
"TCGA-06-A5U1",NA,NA,"TCGA-76-6662","TCGA-HT-7857"
"TCGA-08-0385",NA,NA,"TCGA-06-2565","TCGA-DU-A7TA"
"TCGA-76-6660",NA,NA,"TCGA-06-2565","TCGA-RY-A840"
"TCGA-19-5951",NA,NA,"TCGA-06-0192","TCGA-R8-A73M"
NA,NA,NA,"TCGA-06-0192","TCGA-S9-A6WO"
NA,NA,NA,"TCGA-08-0359","TCGA-DU-6406"
NA,NA,NA,"TCGA-08-0359","TCGA-HT-8108"
NA,NA,NA,"TCGA-12-0773","TCGA-S9-A6WM"
NA,NA,NA,"TCGA-12-0773","TCGA-DU-5852"
NA,NA,NA,"TCGA-14-3477","TCGA-S9-A6U9"
NA,NA,NA,"TCGA-14-3477","TCGA-HW-7489"
NA,NA,NA,"TCGA-12-0620","TCGA-DU-7009"
NA,NA,NA,"TCGA-12-0620","TCGA-DU-7015"
NA,NA,NA,"TCGA-19-5953","TCGA-FG-6691"
NA,NA,NA,"TCGA-19-5953","TCGA-FG-6688"
NA,NA,NA,"TCGA-06-0125","TCGA-HW-7491"
NA,NA,NA,"TCGA-06-0125","TCGA-DB-5278"
NA,NA,NA,"TCGA-76-6283","TCGA-HT-7880"
NA,NA,NA,"TCGA-76-6283","TCGA-DB-A4XB"
NA,NA,NA,"TCGA-06-1084","TCGA-HT-7854"
NA,NA,NA,"TCGA-06-1084","TCGA-DU-6401"
NA,NA,NA,"TCGA-28-2513","TCGA-DB-A75M"
NA,NA,NA,"TCGA-28-2513","TCGA-HW-8320"
NA,NA,NA,"TCGA-06-0649","TCGA-HT-8019"
NA,NA,NA,"TCGA-06-0649","TCGA-HW-7490"
NA,NA,NA,"TCGA-16-0850","TCGA-E1-5302"
NA,NA,NA,"TCGA-16-0850","TCGA-HT-A619"
NA,NA,NA,"TCGA-02-0083","TCGA-HT-7856"
NA,NA,NA,"TCGA-02-0083","TCGA-TM-A7CA"
NA,NA,NA,"TCGA-28-5213","TCGA-HT-8564"
NA,NA,NA,"TCGA-28-5213","TCGA-P5-A5EZ"
NA,NA,NA,"TCGA-27-2527","TCGA-S9-A6U1"
NA,NA,NA,"TCGA-27-2527","TCGA-DU-6396"
NA,NA,NA,"TCGA-02-0057","TCGA-HT-8110"
NA,NA,NA,"TCGA-02-0057","TCGA-CS-4944"
NA,NA,NA,"TCGA-27-1830","TCGA-FG-8181"
NA,NA,NA,"TCGA-27-1830","TCGA-DU-7309"
NA,NA,NA,"TCGA-16-1062","TCGA-QH-A6CW"
NA,NA,NA,"TCGA-16-1062","TCGA-DU-7302"
NA,NA,NA,"TCGA-19-5959","TCGA-QH-A6CV"
NA,NA,NA,"TCGA-19-5959","TCGA-DU-6395"
NA,NA,NA,"TCGA-76-6191","TCGA-HT-A5R9"
NA,NA,NA,"TCGA-76-6191","TCGA-HT-A4DV"
NA,NA,NA,"TCGA-06-0881","TCGA-CS-4941"
NA,NA,NA,"TCGA-06-0881","TCGA-QH-A6X9"
NA,NA,NA,"TCGA-14-1829","TCGA-DU-A6S8"
NA,NA,NA,"TCGA-14-1829","TCGA-DB-5277"
NA,NA,NA,"TCGA-14-1034","TCGA-P5-A5EU"
NA,NA,NA,"TCGA-14-1034","TCGA-P5-A5F2"
NA,NA,NA,"TCGA-27-1834","TCGA-QH-A6CZ"
NA,NA,NA,"TCGA-27-1834","TCGA-DU-7008"
NA,NA,NA,"TCGA-14-0867","TCGA-DU-6400"
